Auteur,Degré,Communauté
Yoshua Bengio,75,3
Ian J. Goodfellow,53,3
Quoc V. Le,47,4
Aaron C. Courville,40,3
Koray Kavukcuoglu,37,10
Geoffrey E. Hinton,35,4
Oriol Vinyals,33,4
Jianfeng Gao,32,76
Daniel Rueckert,32,52
Stephen M. Smith,32,18
Ilya Sutskever,31,4
Kyunghyun Cho,29,3
Trevor Darrell,29,6
Ross B. Girshick,28,6
Ruslan Salakhutdinov,28,3
Jürgen Schmidhuber,27,10
Alex Graves,27,10
Razvan Pascanu,26,3
Alan L. Yuille,26,11
Richard S. Zemel,25,3
Timothy P. Lillicrap,25,10
Kurt Keutzer,24,6
Dawn Song,24,34
Dong Yu,24,76
Xiaogang Wang,24,28
Ryan Kiros,23,3
Honglak Lee,23,249
Yangqing Jia,23,6
Michael Auli,23,44
Noam Shazeer,23,4
Li Deng,22,76
Christian F. Beckmann,22,18
Daan Wierstra,21,10
Barret Zoph,21,4
Arno Villringer,21,151
H. Vincent Poor,21,178
Ming-Hsuan Yang,21,81
Sergey Levine,21,4
Mark Jenkinson,21,18
Yann LeCun,21,4
Christopher D. Manning,21,249
yoshua bengio,20,40
Alessandro Sordoni,20,44
Alexandre Gramfort,20,229
Lukasz Kaiser,20,4
Antonio Torralba,20,6
"Bengio, Yoshua",19,22
Yi Yang,19,30
Cho-Jui Hsieh,19,6
Jure Leskovec,19,117
Rahul Sukthankar,19,11
Thomas Brox,19,5
Pieter Abbeel,19,4
Clare Kelly,18,258
Karen Simonyan,18,10
Bo Li,18,34
Karl Zilles,18,18
Philip H. S. Torr,18,81
Tat-Seng Chua,18,249
Alexey Dosovitskiy,18,5
Jun-Yan Zhu,18,6
Hugo Larochelle,18,3
Lei Zhang,18,42
Jitendra Malik,18,6
Klaus-Robert Müller,18,151
William J. Dally,17,24
Max Welling,17,83
Benjamin Blankertz,17,151
Peter T. Fox,17,18
Li Fei-Fei,17,11
Kevin Murphy,17,11
Alexei A. Efros,17,6
Noah A. Smith,17,44
Ueli Meier,17,10
Kilian Q. Weinberger,16,78
Richard Socher,16,249
Andrew Y. Ng,16,249
Kaiming He,16,6
Ryan P. Adams,16,3
Zidong Du,16,42
Yunji Chen,16,42
"Pascanu, Razvan",16,10
David Silver,16,10
Zhiyuan Liu,16,30
Qingyang Li,16,258
Jeff Donahue,16,6
Ping Luo,16,28
Tianshi Chen,16,42
Jakob Uszkoreit,15,4
"kavukcuoglu, koray",15,10
Dacheng Tao,15,81
Rui Zhao,15,4
